Sl.No,project_name,agency,State,approval_date,start_date,original_doc,revised_doc,original_cost,revised_cost,expenditure,physical_progress,project_code,legacy_ocms_code,pmgid,cost_overrun_amount,cost_overrun_percent,expenditure_percent,remaining_cost,expenditure_progress_gap,planned_duration_months,approval_to_start_months,project_age_months,schedule_change_months,time_overrun_flag,cost_overrun_flag,project_size_category,low_progress_flag,spending_ahead_of_progress,expenditure_exceeds_revised_cost,extreme_cost_overrun,cost_risk,schedule_risk,progress_risk,financial_risk,risk_score,risk_level,intervention_priority
879,"lmprovement and Widening to 2 lane with paved Shoulder of NH-15 old NH-52 from Existing Km 770.600 Design Km 24.819 to Existing km 805.750 Design Km 59.885 Kamlang T-Junction to Chowkham, Existing Length 35.150 Km, Design Length-35.066 Km in the state of Arunachal Pradesh on EPC mode Pkg-2",NHIDCL,Arunachal Pradesh,2023-12-01,2026-02-01,2028-02-01,,316.73,316.73,0.0,0.0,NHIDCL,619014,-,0.0,0.0,0.0,316.73,0.0,24.0,26.0,2.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
42,MADANNAGAR OCP 12 MTY - MDO,SECL - CIL,Chhattisgarh,2024-12-01,2024-12-01,2029-03-01,,1859.19,1859.19,0.45,0.0,SECL - CIL,619172,-,0.0,0.0,0.0242040888774143,1858.74,0.0242040888774143,51.0,0.0,16.0,,0,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1584,"Balance work of 8 nos. of Elephant Underpasses EUPs, 1 no. of Vehicular Underpass VUP, 1 nos. of Light Vehicular Underpass LVUP, 1 nos. of Pedestrian Underpass PUP, 1 nos. of Foot Over Bridge FOB and A2 side approach of Jharpokharia Flyover at Km.215.270 in Baharagora-Singhara section of NH-49",National Highways Authority of India [NHAI],Odisha,2023-09-01,2024-11-01,2026-05-01,2027-03-01,320.64,244.85,33.71,18.0,National Highways Authority of India [NHAI],618592,-,-75.78999999999999,-23.637100798403193,13.76761282417807,211.14,-4.2323871758219305,18.0,14.0,17.0,10.0,1,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
41,RPR FOR DURGAPUR OCP 10 MTY,SECL - CIL,Chhattisgarh,2025-09-01,2025-09-01,2032-03-01,,2415.91,2415.91,2.35,0.01,SECL - CIL,619171,-,0.0,0.0,0.0972718354574466,2413.56,0.0872718354574466,78.0,0.0,7.0,,0,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
40,MANIKPUR OC EXPANSION PROJECT,South Eastern Coalfields Limited [SECL],Chhattisgarh,2025-01-01,2025-01-01,2029-03-01,,382.61,382.61,116.09,21.29,South Eastern Coalfields Limited [SECL],617288,-,0.0,0.0,30.34160110817804,266.52,9.05160110817804,50.0,0.0,15.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
39,KUSMUNDA OC EXPANSION PROJECT,SECL - CIL,Chhattisgarh,2024-11-01,2024-11-01,2030-03-01,,4516.88,4516.88,817.06,22.0,SECL - CIL,617287,-,0.0,0.0,18.089034909052263,3699.82,-3.910965090947734,64.0,0.0,17.0,,0,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
175,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand",Damodar Valley Corporation,Jharkhand,2023-04-01,2024-11-01,2029-03-01,,14358.0,14358.0,1890.03,11.0,Damodar Valley Corporation,611509,-,0.0,0.0,13.163602173004596,12467.97,2.1636021730045965,52.0,19.0,17.0,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
176,"Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]",National Thermal Power Corporation [NTPC],Madhya Pradesh,2024-11-01,2025-05-01,2030-03-01,,20446.0,20446.0,1721.18,7.5,National Thermal Power Corporation [NTPC],618976,-,0.0,0.0,8.418174704098602,18724.82,0.918174704098602,58.0,6.0,11.0,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
951,construction of a new 4 lane Parallel to existing MG Setu with its approaces from km 0.00 to km 14.500 across river Ganga on NH-19 at Patna in the state of Bihar.,MoRTH,Bihar,2019-02-01,2021-03-01,2024-09-01,2027-06-01,2926.42,2926.42,0.0,72.51,MoRTH,618228,N24001201,0.0,0.0,0.0,2926.42,-72.51,42.0,25.0,61.0,33.0,1,0,Large,0,0,0,0,0,100,40,0,40.0,MEDIUM,447
200,Jamnagar Transmission Limited,Adani Transmission Limited,Gujarat,2024-10-01,,2026-10-01,,4000.0,4000.0,537.0,18.0,Adani Transmission Limited,617405,-,0.0,0.0,13.425,3463.0,-4.574999999999999,,,,,0,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
52,EPR ROHINI - KARKETTA OCP,Ministry of Coal,Jharkhand,2021-01-01,2021-01-01,2028-03-01,,1020.42,1020.42,84.94,22.84,Ministry of Coal,400153,N06000243,0.0,0.0,8.32402344132808,935.48,-14.51597655867192,86.0,0.0,63.0,,0,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1877,Rehabilitation and upgradation of 2 lane with paved shoulder from existing km. 195.175 to km. 220.000 Design Chainage km71.300 to Km. 95.947 Excluding existing chainage Km 200.300 to Km 202.400 Design chainage Km 76.400 to Km 78.400 on Dharasu to Yamunotri Road of NH- 134 Old NH-94,MoRTH,Uttarakhand,2025-05-01,2025-10-01,2028-04-01,,344.73,344.73,0.0,17.78,MoRTH,617974,-,0.0,0.0,0.0,344.73,-17.78,30.0,5.0,6.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
485,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli, Karnataka",Employee's State Insurance Company [ESIC],Karnataka,2019-07-01,2025-03-01,2027-02-01,,150.92,150.92,6.76,10.0,Employee's State Insurance Company [ESIC],612748,-,0.0,0.0,4.479194275112643,144.16,-5.520805724887357,23.0,68.0,13.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
205,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,Power Grid Corporation of India Limited [POWERGRID],"Jammu and
Kashmir",2024-07-01,2024-07-01,2026-07-01,2027-06-01,218.6,218.6,3.72,1.7,Power Grid Corporation of India Limited [POWERGRID],617179,N18000417,0.0,0.0,1.7017383348581887,214.88,0.0017383348581887,24.0,0.0,21.0,11.0,1,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
60,2.5 MTPA PATHERDIH NLW WASHERY,Ministry of Coal,Jharkhand,2015-10-01,2016-04-01,2018-04-01,2026-12-01,334.27,334.27,162.75,51.81,Ministry of Coal,611017,N06000194,0.0,0.0,48.68818619678703,171.51999999999998,-3.121813803212973,24.0,6.0,120.0,104.0,1,0,Small,0,0,0,0,0,100,40,0,40.0,MEDIUM,447
489,"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.",Employee's State Insurance Company [ESIC],Odisha,2010-12-01,2025-02-01,2027-06-01,,164.6,164.6,16.4,7.2,Employee's State Insurance Company [ESIC],612513,-,0.0,0.0,9.963547995139733,148.2,2.7635479951397324,28.0,170.0,14.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
156,Badam Coal Mining project of NTPC,National Thermal Power Corporation [NTPC],Jharkhand,2019-02-01,2019-09-01,2056-12-01,2027-04-01,502.0,784.0,471.08,67.86,National Thermal Power Corporation [NTPC],603293,N18000367,282.0,56.17529880478087,60.08673469387755,312.92,-7.773265306122447,447.0,7.0,79.0,-356.0,0,1,Medium,0,0,0,0,100,0,40,0,40.0,MEDIUM,447
487,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.",Employee's State Insurance Company [ESIC],Maharashtra,2013-10-01,2022-08-01,2025-08-01,2026-09-01,194.93,196.7,114.39,65.5,Employee's State Insurance Company [ESIC],612213,-,1.7699999999999818,0.9080182629661836,58.15455007625826,82.30999999999999,-7.345449923741739,36.0,106.0,44.0,13.0,1,1,Small,0,0,0,0,25,75,40,0,40.0,MEDIUM,447
218,Augmentation of Transformation Capacity and Implementation of Line Bays at Mandsaur S/S for RE Interconnection [SPV Name- POWERGRID Mandsaur I RE Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,2025-10-01,2025-10-01,2028-03-01,,319.0,319.0,12.76,2.5,Power Grid Corporation of India Limited [POWERGRID],617802,-,0.0,0.0,4.0,306.24,1.5,29.0,0.0,6.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
159,186 MW Tato-I H E Project,North Eastern Electric Power Corporation Limited,Arunachal Pradesh,2024-12-01,2025-05-01,2029-07-01,,1750.07,1750.07,73.91,5.04,North Eastern Electric Power Corporation Limited,611699,-,0.0,0.0,4.2232596410429295,1676.16,-0.8167403589570705,50.0,5.0,11.0,,0,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
163,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]",National Thermal Power Corporation [NTPC],Bihar,2024-11-01,2025-03-01,2030-07-01,,29948.0,29948.0,2676.55,10.17,National Thermal Power Corporation [NTPC],619051,-,0.0,0.0,8.937324696139976,27271.45,-1.2326753038600238,64.0,4.0,13.0,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
203,Transmission System for Reliable Power Supply to Dholera,Power Grid Corporation of India Limited [POWERGRID],Gujarat,2024-09-01,2024-09-01,2026-03-01,2026-12-01,319.42,319.42,51.1,18.0,Power Grid Corporation of India Limited [POWERGRID],619029,-,0.0,0.0,15.997745914469975,268.32,-2.002254085530023,18.0,0.0,19.0,9.0,1,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
202,KPSIII HVDC Transmission Limited,Adani Transmission Limited,Gujarat,2025-12-01,,2029-12-01,,19000.0,19000.0,20.0,1.0,Adani Transmission Limited,619026,-,0.0,0.0,0.1052631578947368,18980.0,-0.8947368421052632,,,,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
160,700 MW Tato-II HE Project,North Eastern Electric Power Corporation Limited,Arunachal Pradesh,2025-09-01,2025-09-01,2031-09-01,,8146.21,8146.21,243.25,6.41,North Eastern Electric Power Corporation Limited,611716,-,0.0,0.0,2.986051182083447,7902.96,-3.423948817916553,72.0,0.0,7.0,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1873,Construction of 2 lane with paved shoulder of Kund Bypass from Design Km 35.130 to Km 47.700 existing Km 33.130 to Km 41.260 of NH-109 in the State of Uttarakhand,MoRTH,Uttarakhand,2018-02-01,2018-05-01,2020-05-01,2026-12-01,247.41,247.41,110.98,73.5,MoRTH,617929,N24000781,0.0,0.0,44.8567155733398,136.43,-28.6432844266602,24.0,3.0,95.0,79.0,1,0,Small,0,0,0,0,0,100,40,0,40.0,MEDIUM,447
1872,Construction of Champawat Bypass with two lane with paved shoulder configuration starting from existing chainage 121.700 to existing chainage 129.450 Design Length 9.847 of NH-125 in District-Champawat in the state of Uttrakhand on EPC mode.,MoRTH,Uttarakhand,2025-02-01,2026-01-01,2027-12-01,,220.89,220.89,0.0,5.0,MoRTH,617890,-,0.0,0.0,0.0,220.89,-5.0,23.0,11.0,3.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
161,Kalai-II Hydro Electric Project [1200 MW],THDC India Limited,Arunachal Pradesh,2026-04-01,2026-04-01,2032-10-01,,14105.83,14105.8,187.16,0.0,THDC India Limited,619311,-,-0.0300000000006548,-0.0002126780203692,1.3268300982574543,13918.64,1.3268300982574543,78.0,0.0,0.0,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
445,"Creation of Gas Dehydration Facilities, Tripura Asset",Oil and Natural Gas Corporation Limited [ONGC],Tripura,2022-03-01,2022-03-01,2024-05-01,2026-08-01,209.33,131.51,78.98,68.9,Oil and Natural Gas Corporation Limited [ONGC],709837,-,-77.82000000000002,-37.17575120622941,60.05626948521026,52.52999999999999,-8.843730514789748,26.0,0.0,49.0,27.0,1,0,Small,0,0,0,0,0,100,40,0,40.0,MEDIUM,447
199,Augmentation of Transformation Capacity at Bhuj-II PS [GIS],Power Grid Corporation of India Limited [POWERGRID],Gujarat,2025-02-01,2025-02-01,2026-11-01,2027-06-01,488.29,488.29,5.86,1.5,Power Grid Corporation of India Limited [POWERGRID],617391,-,0.0,0.0,1.200106494091626,482.43,-0.299893505908374,21.0,0.0,14.0,7.0,1,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1245,6L of Kodugallur to Edapppally section from km 397.750 to km 423.780 of NH - 66 old NH-17,National Highways Authority of India [NHAI],Kerala,2021-11-01,2022-10-01,2025-04-01,2026-12-01,3465.82,3606.2,768.14,64.93,National Highways Authority of India [NHAI],618603,N24001653,140.37999999999963,4.050412312237786,21.300537962398092,2838.06,-43.62946203760191,30.0,11.0,42.0,20.0,1,1,Large,0,0,0,0,25,75,40,0,40.0,MEDIUM,447
5,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],Bihar,2024-08-01,2025-04-01,2027-03-01,,1413.0,1413.0,7.64,1.28,612183,-,9918,0.0,0.0,0.5406935598018401,1405.36,-0.7393064401981599,23.0,8.0,12.0,,0,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1535,4L of Bamni - Rajura - Warur - Devada upto M.S. Border of NH - 930D from km 19.000 to km 51.985,National Highways Authority of India [NHAI],"Multi-States
(Maharashtra,
Telangana)",2022-03-01,2024-03-01,2026-03-01,2026-12-01,968.05,1187.19,599.67,68.15,National Highways Authority of India [NHAI],618941,-,219.1400000000001,22.637260472083064,50.511712531271314,587.5200000000001,-17.63828746872869,24.0,24.0,25.0,9.0,1,1,Medium,0,0,0,0,50,50,40,0,40.0,MEDIUM,447
185,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Damodar Valley Corporation,West Bengal,2023-01-01,2025-02-01,2029-06-01,,17673.0,17673.0,1950.25,9.4,Damodar Valley Corporation,400062,-,0.0,0.0,11.03519493011939,15722.75,1.6351949301193898,52.0,25.0,14.0,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
940,Construction of Bhabhua Bypass from Ch. 10800Design Ch. 10800 to Ch. 19860 Design Ch. 18150 and Chand Bypass from Ch. 38060 Design Ch. 36250 to Ch. 40460 Design Ch. 38650 and widening of existing road to 2 - lane with Paved shoulder from Ch. 40460 Design Ch. 38650 to Ch. 46860 Design Ch. 45050 of NH-219 Total length- 16.150 Kmunder EPC mode in the state of Bihar,MoRTH,Bihar,2022-02-01,2025-01-01,2026-07-01,2027-04-01,179.86,179.86,0.0,0.05,MoRTH,618004,N24001545,0.0,0.0,0.0,179.86,-0.05,18.0,35.0,15.0,9.0,1,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
920,"Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH- 37 Old from Km 490.800 to Km 534.800, under SARDP- NE on EPC Mode in the state of Assam Pkg- IV Structures & Toll Plaza",NHIDCL,Assam,2016-01-01,2024-10-01,2025-10-01,,187.09,100.22,0.0,0.0,NHIDCL,618440,N24000320,-86.87,-46.43219840718371,0.0,100.22,0.0,12.0,105.0,18.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
191,Transmission system for evacuation of Power from REZ in Rajasthan [20 GW] under phase-III Part-D Phase-II,Power Grid Corporation of India Limited [POWERGRID],Delhi,2023-11-01,2024-10-01,2026-02-01,2026-12-01,284.0,284.0,22.72,7.75,Power Grid Corporation of India Limited [POWERGRID],615336,-,0.0,0.0,8.0,261.28,0.25,16.0,11.0,18.0,10.0,1,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1835,Four laning of Agra-Aligarh Section from Km. 0.000 Junction of NH-34 Aligarh Km 144.60 to Km. 28.000 near Asroi village in Hathras of NH-509 Package-I,National Highways Authority of India [NHAI],Uttar Pradesh,2024-06-01,2026-03-01,2028-03-01,2028-11-01,1309.08,1309.08,0.0,0.0,National Highways Authority of India [NHAI],618768,-,0.0,0.0,0.0,1309.08,0.0,24.0,21.0,1.0,8.0,1,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1517,6L Greenfield Varanasi- Ranchi- Kolkata Highway from junction with NH-320 in Lepo village to Kamlapur villageJH/WB border from km 358.500 to km 387.200 Pkg -13,National Highways Authority of India [NHAI],"Multi-States
(Jharkhand, West
Bengal)",2023-03-01,2025-09-01,2027-09-01,2027-09-01,1154.49,1319.18,90.87,17.22,National Highways Authority of India [NHAI],618734,-,164.69000000000003,14.265173366594777,6.8883700480601595,1228.31,-10.331629951939838,24.0,30.0,7.0,0.0,0,1,Large,1,0,0,0,50,0,100,0,40.0,MEDIUM,447
1552,Construction of 2-Lane with paved shoulder of Kohima-Bypass Road connecting New NH-02 and New NH-29 from Design Km 10.500 to design Km 21.000 [Design Length- 10.500 km] including TUNNEL of 500m at Ch. 11.000 in the state of Nagaland Under SARDP-NE on EPC Mode Package-2,NHIDCL,Nagaland,2020-07-01,2020-10-01,2022-10-01,2026-06-01,277.44,277.44,192.45,69.82,NHIDCL,618292,N24001255,0.0,0.0,69.36634948096886,84.99000000000001,-0.4536505190311288,24.0,3.0,66.0,44.0,1,0,Small,0,0,0,0,0,100,40,0,40.0,MEDIUM,447
398,Development of Jharia CBM Block [Phase-1],Oil and Natural Gas Corporation Limited [ONGC],Jharkhand,2019-11-01,2019-11-01,2024-01-01,2026-05-01,431.0,431.0,261.97,65.3,Oil and Natural Gas Corporation Limited [ONGC],610984,N16000445,0.0,0.0,60.78190255220418,169.02999999999997,-4.518097447795817,50.0,0.0,77.0,28.0,1,0,Small,0,0,0,0,0,100,40,0,40.0,MEDIUM,447
1304,2L PS of Hinotiya-Mehulwa section of NH-346 from Km. 27.000 to Km 75.700 Vidisha Mehulwa-Talbehat Pkg-II Section of NH- 346,National Highways Authority of India [NHAI],Madhya Pradesh,2022-10-01,2023-09-01,2025-09-01,2027-01-01,581.65,592.71,243.28,69.04,National Highways Authority of India [NHAI],618751,N24001921,11.06000000000006,1.9014871486289109,41.04536788648749,349.43000000000006,-27.994632113512516,24.0,11.0,31.0,16.0,1,1,Medium,0,0,0,0,25,75,40,0,40.0,MEDIUM,447
1308,Construction of 6 lane Indore western bypass from km 34000 to Km 64000 Pkg-II in the state of Madhya Pradesh on Hybrid Annuity Mode under NHO,National Highways Authority of India [NHAI],Madhya Pradesh,2024-03-01,2026-03-01,2028-03-01,,1430.56,1430.56,8.62,0.0,National Highways Authority of India [NHAI],618933,-,0.0,0.0,0.6025612347612124,1421.94,0.6025612347612124,24.0,24.0,1.0,,0,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1321,Udgir Raavi Degloor Aadampur phata to Sagroli fata,MoRTH,Maharashtra,2024-11-01,2026-04-01,2028-04-01,,809.77,809.77,0.0,0.0,MoRTH,617937,-,0.0,0.0,0.0,809.77,0.0,24.0,17.0,0.0,,0,0,Medium,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1313,Upgradation of Sarvardewla to Pal MP/MH Border Road section of NH-347 C from Design Chainge km 81.600 to 137.400 Total length 55.80 km to two lane with paved shoulder configuration along with One time improvement of 1 .95 km in the State of Madhya Pradesh on EPC mode.,MoRTH,Madhya Pradesh,2023-03-01,2026-01-01,2028-01-01,,461.23,461.23,0.0,0.0,MoRTH,619007,-,0.0,0.0,0.0,461.23,0.0,24.0,34.0,3.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1843,"Improvement and Up-Gradation of Existing Road to 4L PS from Km 123.650 to 175.080, from Start of Shahabad Bypass to End of Hardoi bypass of NH 731 Pkg-2B",National Highways Authority of India [NHAI],Uttar Pradesh,2022-09-01,2023-11-01,2025-11-01,2026-11-01,1101.79,1212.26,346.55,63.51,National Highways Authority of India [NHAI],618856,N24002094,110.47000000000004,10.026411566632484,28.587101776846552,865.71,-34.922898223153446,24.0,14.0,29.0,12.0,1,1,Large,0,0,0,0,50,50,40,0,40.0,MEDIUM,447
182,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]",National Thermal Power Corporation [NTPC],Uttar Pradesh,2024-03-01,2024-03-01,2030-02-01,,17195.0,17195.0,3306.21,19.8,National Thermal Power Corporation [NTPC],612142,N18000382,0.0,0.0,19.227740622273917,13888.79,-0.572259377726084,71.0,0.0,25.0,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1361,Rehabilitation and upgradation from ch km 50/200 to 56/800 and km 62/600 to 100/403 of Kolde to Visarwadi Near Junction with NH-6 section of NH 752G total length 44.40 to two-lane with paved shoulder / four lanes in the State of Maharashtra on EPC mode.,MoRTH,Maharashtra,2025-03-01,2026-01-01,2028-01-01,,349.08,349.08,0.0,21.6,MoRTH,618176,-,0.0,0.0,0.0,349.08,-21.6,24.0,10.0,3.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
180,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",National Hydroelectric Power Corporation Limited [NHPC],Sikkim,2019-03-01,2020-03-01,2024-03-01,2027-12-01,5748.04,5748.04,4356.15,72.51,National Hydroelectric Power Corporation Limited [NHPC],602181,N18000325,0.0,0.0,75.78496322224618,1391.8900000000003,3.2749632222461713,48.0,12.0,73.0,45.0,1,0,Mega,0,0,0,0,0,100,40,0,40.0,MEDIUM,447
1542,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,National Highways Authority of India [NHAI],"Multi-States (Uttar
Pradesh,
Uttarakhand)",2025-04-01,2025-10-01,2027-10-01,2027-10-01,238.66,0.1,11.65,11.12,National Highways Authority of India [NHAI],618886,-,-238.56,-99.95809938825109,11650.0,-11.55,11638.88,24.0,6.0,6.0,0.0,0,0,Small,1,1,1,0,0,0,100,100,40.0,MEDIUM,447
906,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,Assam,2023-01-01,2023-12-01,2026-12-01,,356.65,356.65,0.0,20.45,NHIDCL,618339,N24002025,0.0,0.0,0.0,356.65,-20.45,36.0,11.0,28.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1268,Upgradation of Shahdol- Sagartola Section of NH 543 from km 0000 to km 69400 to 2 lane with paved shoulders under Hybrid Annuity Mode HAM in the State of Madhya Pradesh,MoRTH,Madhya Pradesh,2024-02-01,2026-03-01,2028-03-01,,851.4,851.4,0.0,0.0,MoRTH,618044,-,0.0,0.0,0.0,851.4,0.0,24.0,25.0,1.0,,0,0,Medium,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
179,"Darlipali Super Thermal Power Project, Stage-II [1x800 MW]",National Thermal Power Corporation [NTPC],Odisha,2025-11-01,2025-11-01,2031-01-01,,11131.0,11131.0,460.85,1.95,National Thermal Power Corporation [NTPC],619056,-,0.0,0.0,4.1402389722396915,10670.15,2.1902389722396913,62.0,0.0,5.0,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
16,C/o NITB Imphal Airport,Airport Authority of India [AAI],Manipur,2021-11-01,2022-07-01,2024-07-01,2026-12-01,499.0,499.0,201.99,50.69,706718,N04000100,-,0.0,0.0,40.478957915831664,297.01,-10.211042084168334,24.0,8.0,45.0,29.0,1,0,Small,0,0,0,0,0,100,40,0,40.0,MEDIUM,447
903,Widening/Improvement to 4-Lane with Paved Shoulder from KM 113300 to Km 146230 Design Chainage 113830 to 145712 of Kwaram Taro Village - Dillai Section in Assam on EPC Package-6,NHIDCL,Assam,2021-09-01,2022-07-01,2024-07-01,2025-03-01,625.64,625.64,0.0,0.0,NHIDCL,618327,N24001450,0.0,0.0,0.0,625.64,0.0,24.0,10.0,45.0,8.0,1,0,Medium,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1376,Upgradation & rehabilitation of Service Roads on both sides in urban areas of Pune City on PuneSatara section of NH48,National Highways Authority of India [NHAI],Maharashtra,2025-01-01,2025-06-01,2026-06-01,2027-06-01,604.59,388.78,44.03,14.7,National Highways Authority of India [NHAI],618511,-,-215.8100000000001,-35.69526455945352,11.325171047893411,344.75,-3.374828952106588,12.0,5.0,10.0,12.0,1,0,Medium,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
946,Improvement to two lane with paved shoulders of BH WB Border Amdabad Manihari section from design Km 0.000 to Km 23.945 of NH 131 A Total length 23.945 Km under EPC mode in the state of Bihar,MoRTH,Bihar,2022-01-01,2024-09-01,2026-03-01,,353.27,353.27,0.0,3.1,MoRTH,618080,N24002198,0.0,0.0,0.0,353.27,-3.1,18.0,32.0,19.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
194,Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name POWERGRID Jam Khambhaliya Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,2024-10-01,2024-10-01,2026-07-01,2027-04-01,329.0,329.0,36.19,13.5,Power Grid Corporation of India Limited [POWERGRID],615342,N18000398,0.0,0.0,10.999999999999998,292.81,-2.5000000000000018,21.0,0.0,18.0,9.0,1,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
195,Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and Khavda Pooling station 3 [KPS3],Power Grid Corporation of India Limited [POWERGRID],Gujarat,2024-11-01,2024-11-01,2026-11-01,,501.0,501.0,25.05,6.0,Power Grid Corporation of India Limited [POWERGRID],615343,N18000402,0.0,0.0,5.0,475.95,-1.0,24.0,0.0,17.0,,0,0,Medium,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
434,Pipeline Replacement Project- PRP-IX,Ministry of Petroleum & Natural Gas,Offshore,2025-08-01,2025-08-01,2027-05-01,,6175.0,6175.0,520.71,11.3,Ministry of Petroleum & Natural Gas,619314,-,0.0,0.0,8.432550607287451,5654.29,-2.8674493927125493,21.0,0.0,8.0,,0,0,Mega,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
29,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],Chhattisgarh,2020-12-01,2020-12-01,2029-03-01,,2310.12,2310.12,113.83,11.81,South Eastern Coalfields Limited [SECL],400144,N06000199,0.0,0.0,4.927449656294911,2196.29,-6.8825503437050894,99.0,0.0,64.0,,0,0,Large,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
197,Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,2025-02-01,2025-02-01,2027-02-01,,466.0,466.0,93.2,22.5,Power Grid Corporation of India Limited [POWERGRID],617069,N18000411,0.0,0.0,20.0,372.8,-2.5,24.0,0.0,14.0,,0,0,Small,1,0,0,0,0,50,100,0,40.0,MEDIUM,447
1248,Paravoor-Kottankulangara,National Highways Authority of India [NHAI],Kerala,2021-12-01,2022-08-01,2025-02-01,2027-03-01,3273.61,3200.24,1226.55,71.2,National Highways Authority of India [NHAI],618606,N24001649,-73.37000000000035,-2.2412565944019094,38.326812989025825,1973.69,-32.87318701097418,30.0,8.0,44.0,25.0,1,0,Large,0,0,0,0,0,100,40,0,40.0,MEDIUM,447
